,puuid,gameList
49,uwGkFgLzzQtRxdcKczbSi2RsSR1qLrUOI_t-jFtrUrma6M3BEuickcQocGDXNCq6D2EkTvGra8D2SA,"['NA1_4321148688', 'NA1_4318235121', 'NA1_4312631737', 'NA1_4312546588', 'NA1_4311398307', 'NA1_4307036024', 'NA1_4306943110', 'NA1_4306745992', 'NA1_4305792937', 'NA1_4305707195']"
50,47dnE59Dtj2NKMzbCXU163cQ5UTdeOlNzXL_7G33__50Ap7Tl3ldWPds6bCWwOkVVurTB_L4JQ1G0g,"['NA1_4329751107', 'NA1_4329741192', 'NA1_4328902731', 'NA1_4328792904', 'NA1_4328775752', 'NA1_4327852631', 'NA1_4327717823', 'NA1_4326509800', 'NA1_4325334869', 'NA1_4325259423']"
51,JQX4oVOG7LifZJu5h60VFYiFzv_0K0L9h9EkJMxDHEK4SzKcdS5OCppAPOqfpHB543Yt55C9os9TXw,"['NA1_4334300419', 'NA1_4331867499', 'NA1_4331808540', 'NA1_4331404060', 'NA1_4331062604', 'NA1_4331027056', 'NA1_4329970426', 'NA1_4329045147', 'NA1_4328084339', 'NA1_4325976689']"
52,lHKzuzgb3Dsq16tR_vFqNoSNPL0zlv_XBLtTJRlUnM3cfwlbE_TooONyCUNa3dPSl5qCQUxDpSAgyQ,"['NA1_4330687355', 'NA1_4330663722', 'NA1_4330569599', 'NA1_4329026616', 'NA1_4328970214', 'NA1_4328900949', 'NA1_4328812008', 'NA1_4328746766', 'NA1_4328751058', 'NA1_4328617914']"
53,HkE1-3EIW2K1vS_bcGUt5IsfmpU3sfh5AbYjlhFcZxspKTJ7xFJ_tzCJ3w2t0rlfrSDERTX7N0BXbw,"['NA1_4298060959', 'NA1_4298008552', 'NA1_4297972945', 'NA1_4297679350', 'NA1_4297676097', 'NA1_4297475981', 'NA1_4297473474', 'NA1_4296859426', 'NA1_4296679361', 'NA1_4296703366']"
54,Ghb5rjb5l9wLZ6o1fN98LtRwAcuFhhloASsGMu5w-1OITUB4cjr5JuzlWYi6gyRhGJaPBuDc2hRLMw,"['NA1_4322141275', 'NA1_4321236071', 'NA1_4321198831', 'NA1_4321149280', 'NA1_4321152726', 'NA1_4321029196', 'NA1_4321012929', 'NA1_4317870657', 'NA1_4317837174', 'NA1_4317813963']"
55,am1DFBRwoN_2JuPDuX_uX5uyKu0XcA44r2__PGXt5T6ootcQRSANvL_2p-YP3u1zRnKtgMVTm1PQsQ,"['NA1_4334129714', 'NA1_4334116507', 'NA1_4334130292', 'NA1_4332443994', 'NA1_4330262048', 'NA1_4330280354', 'NA1_4328665239', 'NA1_4328641907', 'NA1_4328559504', 'NA1_4326464487']"
56,efqHgozjeop3rTybUmigvUHt4l3nDMBJ5dEV0JyuK5Ce9ashEWH7QWGFHctxNiD8YKis7fb7-8y1Rw,"['NA1_4316738021', 'NA1_4316688148', 'NA1_4316599041', 'NA1_4315862731', 'NA1_4315754719', 'NA1_4315704396', 'NA1_4294977175', 'NA1_4293729918', 'NA1_4280531372', 'NA1_4280493391']"
57,3t53TXwifBpCnYV1XyaQGAThzV_KdGSjwsgSz-xI05Lu6FmYlY3LxGZjwfYgRUx7Z_ZJUNH8QK1hqA,"['NA1_4334008409', 'NA1_4334020211', 'NA1_4333962433', 'NA1_4333906569', 'NA1_4333851105', 'NA1_4333164913', 'NA1_4333161672', 'NA1_4323718689', 'NA1_4323294050', 'NA1_4323238495']"
58,EstBR5d_tTvwrUa5Uryv-v-QRCdGtpzHNJqtqKU_jqSmhS8hDfe6GGUiHlnOxcbFSexTOTr8zt6hMw,"['NA1_4303484949', 'NA1_4279739673', 'NA1_4279713086', 'NA1_4279675739', 'NA1_4279660058', 'NA1_4279583273', 'NA1_4276741202', 'NA1_4276699154', 'NA1_4276662892', 'NA1_4276616180']"
